Date,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1977-09-30,41.361710103,45.577483338,33.170629318,44.425124759,25.492643206,25.479762915,29.889782589,29.878347686,34.992582464,31.146680954,29.077729665,38.51599285,33.419538591,39.142708028,43.661671819,43.289342737,38.834354642,43.42349293,31.10256222,32.436896346,17.477500302,28.153559757,32.018961945,44.611193423,37.190811188,37.162599996,38.005881998,36.685576843,27.589144974,25.079199711,36.986593745,24.704602823,32.500886447,51.11404725,37.61358368,46.89387289,30.679487799,34.180317643,26.038147835,34.468215308,41.883853016,38.207453976,39.718249285,32.462647243,32.211470449,32.383963457,25.245380473,52.026612865,36.197335446,44.175670038
1977-10-31,41.686428546,46.004657074,33.492460398,44.69399369,25.832819138,25.904604302,30.012570861,30.116331518,35.364456664,31.354134036,29.368812579,39.163838676,33.911384452,39.597890471,44.355588341,43.7186024,39.163912888,43.73531781,31.666412146,32.55450636,17.505541636,28.533810142,32.285794097,45.052928874,37.610023223,37.890643774,38.604054869,37.113351217,27.875710068,25.49729679,37.410138023,24.907430483,32.709317581,51.706900044,37.816268057,47.704778265,31.071811484,34.309455117,26.22919339,34.656332902,42.296266982,38.523870008,40.362308202,32.597423225,32.471514214,32.665981924,25.712847834,52.321664223,36.624611096,44.901214827
1977-11-30,41.974914368,46.502670383,33.835243801,44.973401544,26.204475031,26.344084185,30.094112238,30.452212117,35.867127269,31.569845518,29.707018531,39.997473454,34.266255384,40.191526921,44.978991107,44.123567908,39.336225669,44.244794518,32.194132731,32.795269261,17.558584848,29.000301461,32.618248776,45.625104415,37.958665336,38.613541849,39.178525763,37.564207042,28.197112604,26.132482108,37.812674532,25.115471801,32.929941989,52.413758095,37.941666106,48.470498743,31.452961735,34.911562666,26.368738006,35.000033344,42.733470776,38.906133607,41.217002919,32.865121098,32.608479451,32.931250973,26.121199481,52.681495533,36.98502403,45.580260668
1977-12-31,42.186974137,46.962787467,34.164780236,45.301000411,26.534611278,26.761133826,30.268042926,30.827177145,36.46020384,31.75547422,30.028831296,40.889577078,34.437614431,40.895514203,45.526840618,44.47033125,39.388210024,44.947594529,32.64418984,33.190495036,17.581308034,29.510353686,32.966652996,46.227122019,38.269120857,39.357383341,39.667221374,38.076813868,28.475732143,26.837745112,38.155250471,25.286828895,33.339810638,53.155808401,38.16767282,49.100589439,31.863643776,35.721903672,26.502132074,35.472003122,43.131566159,39.323575567,42.00457511,33.327677639,32.73543046,33.160085175,26.552187563,53.035528458,37.479408879,46.245399955
1978-01-31,42.321380508,47.369397102,34.575999473,45.555049911,26.87286527,27.085725347,30.482962931,31.161931174,36.863348485,31.985277341,30.430413315,41.693998144,34.664044595,41.48581098,46.034149417,44.780689264,39.401500876,45.899002964,33.015933217,33.587517417,17.576757263,29.789172068,33.172428324,46.758500456,38.706148991,40.001632608,40.070935271,38.612304743,28.662206765,27.189722861,38.373246441,25.300888863,33.783237016,53.832349185,38.471723769,49.7439622,32.26669153,36.209163983,26.60381472,35.921127318,43.433262791,39.668927946,42.348174217,33.872064301,32.925041916,33.31412194,27.021162577,53.411482762,37.954729246,46.944375638
1978-02-28,42.394916802,47.74697234,34.941461476,45.854023798,27.183374904,27.309870948,30.792562252,31.443899319,37.082498103,32.228971196,30.824209161,42.475230327,35.079367809,41.9373939,46.458765438,45.083585411,39.435841785,46.736283157,33.342769196,33.816216239,17.710120298,30.005624551,33.378656301,47.190321254,39.436877348,40.503377305,40.409446136,39.219348029,28.813959812,27.115998716,38.661724169,25.219464343,34.205734206,54.548795406,38.938217864,50.539001035,32.732633008,36.474188738,26.77050075,36.19668796,43.737032648,39.90599981,42.827373843,34.453476841,33.179616552,33.505422225,27.331236308,53.79142696,38.377868044,47.689120318
1978-03-31,42.564462372,48.146119817,35.252011945,46.160200756,27.400548014,27.579624845,31.274513017,31.51259109,37.45269221,32.385037083,31.166298232,43.132473758,35.849344858,42.22261499,46.828828987,45.499510544,39.478581783,47.520940945,33.533782364,33.916380444,17.927946649,30.178445514,33.808459978,47.493195891,40.563635903,40.886402244,40.840474838,39.897104557,29.113972808,26.821243685,39.086587214,25.185711663,34.503487535,55.156002573,39.500638735,51.381720703,33.198353977,36.763885268,27.021324653,36.378057194,44.123191375,39.94365913,43.509654715,34.944220629,33.465885336,33.848383172,27.676346713,54.263414823,38.726522837,48.407633501
1978-04-30,42.98255726,48.581544265,35.621310032,46.562802826,27.677440025,27.990785999,31.785672121,31.585963026,38.236640643,32.459289467,31.456687832,43.804293682,36.793243604,42.565142372,47.257887173,46.006172453,39.674665358,48.16743629,33.699863637,33.980204928,18.135093507,30.455944306,34.458944928,47.811234287,42.112990315,41.204718276,41.297160074,40.608816829,29.470590662,26.474637857,39.625271499,25.204555953,34.525769117,55.715139969,40.066575715,52.140239574,33.722154867,37.086581764,27.429291605,36.605772574,44.605909081,40.155974509,44.653862231,35.404731698,33.791716466,34.220882363,28.236596084,54.80757267,39.105233314,49.012747865
1978-05-31,43.521808831,49.01352681,36.116923855,47.074777743,28.109231432,28.413369736,32.211826275,31.644344733,38.582276774,32.60797708,31.748083284,44.207650128,37.414359017,42.922833192,47.654086036,46.46955471,40.112221439,48.708059274,33.991565347,34.300618352,18.466872997,30.827696962,35.146376693,48.161592339,42.454891266,41.529437829,41.869254529,41.407274513,29.927121155,26.426384226,40.268487552,25.377568494,34.523391262,56.261789104,40.417527771,52.785419437,34.2561367,37.360651267,27.902513836,36.859563615,45.125205944,40.491753334,45.120072475,35.874554974,34.214412943,34.654909028,28.87533125,55.33780571,39.50006979,49.482627024
1978-06-30,44.064225057,49.322144878,36.704037287,47.689759506,28.493261838,28.881906418,32.597235357,31.724203875,38.357129926,32.997941981,32.092408881,44.41996902,37.526602802,43.245666481,48.045225344,46.960379676,40.747552312,49.218946457,34.38688659,34.72877807,18.869133759,31.203778944,35.736525415,48.592822018,41.675766069,41.937973097,42.362177705,42.258490579,30.397899334,26.658811178,40.931732799,25.63508536,34.592796301,56.677445492,40.637601994,53.47134028,34.763057416,37.550120232,28.28810361,37.068771513,45.628790391,40.927057893,45.014946629,36.433569624,34.663587665,35.052907548,29.469583358,55.892969225,39.828571252,49.925344835
1978-07-31,44.66896676,49.506649114,37.403573897,48.247257385,28.747098182,29.447288818,32.95860975,31.749767408,38.471537494,33.539313662,32.484898756,44.633663506,37.657090468,43.402229508,48.416259432,47.562070474,41.528129932,49.740871772,34.892422484,35.16285671,19.277886506,31.677774231,36.295228111,49.063692114,41.527367867,42.366359201,42.634193385,43.015616484,30.858171726,26.954454825,41.521869782,25.914188532,34.842587808,56.976106688,40.979373282,54.299541351,35.293245797,37.767052424,28.523633522,37.33395606,46.134168746,41.293661478,45.512653006,37.040343192,35.117348785,35.415042614,29.989432724,56.469505651,40.143047287,50.358312563
