date,Austin_HPI
2015-09-30,156689.542534791
2015-08-31,156997.38255795
2015-07-31,156926.370629458
2015-06-30,156259.789869571
2015-05-31,154747.409630975
2015-04-30,153113.734658206
2015-03-31,151788.035561041
2015-02-28,150755.703447336
2015-01-31,150019.473732984
2014-12-31,149855.913842147
2014-11-30,150316.352852112
2014-10-31,150676.37075381
2014-09-30,150773.613500007
2014-08-31,150429.261870118
2014-07-31,150190.074334648
2014-06-30,149713.984753705
2014-05-31,149526.050180886
2014-04-30,149410.183656536
2014-03-31,149091.915824945
2014-02-28,148178.815004507
2014-01-31,147516.371372767
2013-12-31,148119.77930803
2013-11-30,149413.405147507
2013-10-31,150670.484871541
2013-09-30,151169.867318248
2013-08-31,151392.301988889
2013-07-31,151337.217140116
2013-06-30,151317.542472198
2013-05-31,151041.033835665
2013-04-30,150407.392833491
2013-03-31,149505.234154253
2013-02-28,148339.696795632
2013-01-31,147745.836338475
2012-12-31,147798.810404846
2012-11-30,148330.226843524
2012-10-31,148769.470899969
2012-09-30,149209.978065474
2012-08-31,149464.412439637
2012-07-31,149579.671422786
2012-06-30,149142.954537483
2012-05-31,148255.714201536
2012-04-30,147462.903153052
2012-03-31,147266.631594294
2012-02-29,149171.830310509
2012-01-31,150320.353672092
2011-12-31,151024.212787215
2011-11-30,150153.403590944
2011-10-31,150157.231729797
2011-09-30,150277.349128471
2011-08-31,150518.309731309
2011-07-31,150784.467044831
2011-06-30,151121.111473425
2011-05-31,151919.452226504
2011-04-30,152900.588527671
2011-03-31,153969.954893586
2011-02-28,155121.34176941
2011-01-31,156460.451492536
2010-12-31,157041.825972382
2010-11-30,157220.497491112
2010-10-31,157161.749042633
2010-09-30,157731.406639462
2010-08-31,158509.855726949
2010-07-31,159293.663869583
2010-06-30,160052.333629532
2010-05-31,160656.389707519
2010-04-30,161305.867019712
2010-03-31,161740.20297813
2010-02-28,162216.597685028
2010-01-31,162418.340652637
2009-12-31,163012.237871221
2009-11-30,163470.687298721
2009-10-31,164289.830075699
2009-09-30,165588.193581045
2009-08-31,167002.210726636
2009-07-31,168935.116196097
2009-06-30,170476.788325639
2009-05-31,172443.249577619
2009-04-30,174138.587180143
2009-03-31,175703.133155186
2009-02-28,176519.659585135
2009-01-31,176886.549485577
2008-12-31,140432.0
2008-11-30,141432.0
2008-10-31,142181.0
2008-09-30,142253.0
2008-08-31,141962.0
2008-07-31,141547.0
2008-06-30,141846.0
2008-05-31,142258.0
2008-04-30,142630.0
2008-03-31,142991.0
2008-02-29,142984.0
2008-01-31,142747.0
2007-12-31,142452.0
2007-11-30,141840.0
2007-10-31,141390.0
2007-09-30,140720.0
2007-08-31,140670.0
2007-07-31,140301.0
2007-06-30,140298.0
2007-05-31,139718.0
2007-04-30,139556.0
2007-03-31,138774.0
2007-02-28,138445.0
2007-01-31,137500.0
2006-12-31,136342.0
2006-11-30,134397.0
2006-10-31,133146.0
2006-09-30,132200.0
2006-08-31,131540.0
2006-07-31,130417.0
2006-06-30,129300.0
2006-05-31,128413.0
2006-04-30,127196.0
2006-03-31,125721.0
2006-02-28,123884.0
2006-01-31,122302.0
2005-12-31,120620.0
2005-11-30,119286.0
2005-10-31,117207.0
2005-09-30,114864.0
2005-08-31,111918.0
2005-07-31,109181.0
2005-06-30,106037.0
2005-05-31,104446.0
2005-04-30,102522.0
2024-05-31,687880.665994337
2024-04-30,683745.813918022
2024-03-31,681416.000922365
2024-02-29,679618.385640856
2024-01-31,680327.759315507
2023-12-31,680237.140949489
2023-11-30,681642.03143427
2023-10-31,682040.990596148
2023-09-30,683636.015717754
2023-08-31,683589.369172087
2023-07-31,681153.160946895
2023-06-30,676139.536430725
2023-05-31,669612.515351243
2023-04-30,665513.454283539
2023-03-31,661406.831829449
2023-02-28,659995.35094754
2023-01-31,659437.622839216
2022-12-31,660407.835677303
2022-11-30,660256.681060958
2022-10-31,662326.281660181
2022-09-30,666907.239691575
2022-08-31,674510.599343681
2022-07-31,679260.18484395
2022-06-30,679865.18977991
2022-05-31,672661.809600087
2022-04-30,659928.926228335
2022-03-31,644614.783785851
2022-02-28,629422.543989231
2022-01-31,618959.195407551
2021-12-31,609568.261970098
2021-11-30,602194.105119667
2021-10-31,594310.362153319
2021-09-30,586720.220236779
2021-08-31,577943.422809541
2021-07-31,568172.994260165
2021-06-30,554846.462244052
2021-05-31,541827.183147428
2021-04-30,527914.772705977
2021-03-31,516687.312348656
2021-02-28,507228.17439725
2021-01-31,497257.03880498
2020-12-31,487103.760578969
2020-11-30,475781.192903266
2020-10-31,465846.189795537
2020-09-30,458051.630327012
2020-08-31,452859.418761724
2020-07-31,449890.93962951
2020-06-30,447356.901294403
2020-05-31,442832.801182115
2020-04-30,436908.181048187
2020-03-31,431760.357771908
2020-02-29,429542.095689134
2020-01-31,427781.124057213
2019-12-31,425420.345057005
2019-11-30,422248.391010311
2019-10-31,420954.487166948
2019-09-30,420920.50294627
2019-08-31,420598.247565514
2019-07-31,419252.808754642
2019-06-30,417139.81197226
2019-05-31,414921.714082892
2019-04-30,412293.350232862
2019-03-31,409980.187835688
2019-02-28,408686.588913527
2019-01-31,408004.906828014
2018-12-31,407427.906333013
2018-11-30,405967.60408433
2018-10-31,404548.854639904
